Trial,SOA,Target,Response,Accuracy,randomGator
17,90,br,tl,0,Calsoyasuchus_valliceps
18,30,tr,tl,0,Calsoyasuchus_valliceps
19,30,bl,bl,1,Calsoyasuchus_valliceps
20,30,bl,tl,0,Calsoyasuchus_valliceps
21,30,tr,tr,1,Calsoyasuchus_valliceps
22,150,tl,tr,0,Calsoyasuchus_valliceps
23,180,bl,bl,1,Calsoyasuchus_valliceps
24,120,bl,bl,1,Calsoyasuchus_valliceps
25,120,tr,bl,0,Calsoyasuchus_valliceps
26,90,tl,tl,1,Calsoyasuchus_valliceps
27,60,bl,tr,0,Calsoyasuchus_valliceps
28,120,br,tl,0,Calsoyasuchus_valliceps
29,0,tr,tr,1,Calsoyasuchus_valliceps
30,30,tl,tr,0,Calsoyasuchus_valliceps
31,120,br,bl,0,Calsoyasuchus_valliceps
32,0,bl,bl,1,Calsoyasuchus_valliceps
33,90,tr,tr,1,Calsoyasuchus_valliceps
34,120,bl,bl,1,Calsoyasuchus_valliceps
35,120,tr,tr,1,Calsoyasuchus_valliceps
36,90,bl,bl,1,Calsoyasuchus_valliceps
37,120,tr,tr,1,Calsoyasuchus_valliceps
38,150,tl,tl,1,Calsoyasuchus_valliceps
39,150,bl,tr,0,Calsoyasuchus_valliceps
40,60,bl,bl,1,Calsoyasuchus_valliceps
41,60,tr,tr,1,Calsoyasuchus_valliceps
42,0,br,tl,0,Calsoyasuchus_valliceps
43,0,tl,tr,0,Calsoyasuchus_valliceps
44,30,bl,bl,1,Calsoyasuchus_valliceps
45,60,tl,bl,0,Calsoyasuchus_valliceps
46,60,tr,tr,1,Calsoyasuchus_valliceps
47,90,tl,tl,1,Calsoyasuchus_valliceps
48,90,tr,tr,1,Calsoyasuchus_valliceps
49,90,bl,tl,0,Calsoyasuchus_valliceps
50,120,tl,bl,0,Calsoyasuchus_valliceps
51,150,tl,tl,1,Calsoyasuchus_valliceps
52,150,tr,tr,1,Calsoyasuchus_valliceps
